,name,type,category,power,accuracy,pp,description,probability%
685,Sand Tomb,Ground,Physical,"<td class=""cell-num"">35</td>","<td class=""cell-num"">85</td>","<td class=""cell-num"">15</td>","<td class=""cell-long-text"">Traps opponent, damaging them for 4-5 turns.</td>","<td class=""cell-num"">100</td>"
686,Sandsear Storm,Ground,Special,"<td class=""cell-num"">100</td>","<td class=""cell-num"">80</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">May burn target.</td>","<td class=""cell-num"">—</td>"
687,Sandstorm,Rock,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">Creates a sandstorm for 5 turns.</td>","<td class=""cell-num"">—</td>"
688,Sappy Seed,Grass,Physical,"<td class=""cell-num"">90</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">15</td>","<td class=""cell-long-text"">Drains HP from opponent each turn.</td>","<td class=""cell-num"">100</td>"
689,Savage Spin-Out,Bug,,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">1</td>","<td class=""cell-long-text"">Bug type Z-Move.</td>","<td class=""cell-num"">—</td>"
690,Scald,Water,Special,"<td class=""cell-num"">80</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">15</td>","<td class=""cell-long-text"">May burn opponent.</td>","<td class=""cell-num"">30</td>"
691,Scale Shot,Dragon,Physical,"<td class=""cell-num"">25</td>","<td class=""cell-num"">90</td>","<td class=""cell-num"">20</td>","<td class=""cell-long-text"">Hits 2-5 times in one turn. Boosts user's Speed but lowers its Defense.</td>","<td class=""cell-num"">—</td>"
692,Scary Face,Normal,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">Sharply lowers opponent's Speed.</td>","<td class=""cell-num"">—</td>"
693,Scorching Sands,Ground,Special,"<td class=""cell-num"">70</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">May burn the target.</td>","<td class=""cell-num"">—</td>"
694,Scratch,Normal,Physical,"<td class=""cell-num"">40</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">35</td>","<td class=""cell-long-text""></td>","<td class=""cell-num"">—</td>"
695,Screech,Normal,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">85</td>","<td class=""cell-num"">40</td>","<td class=""cell-long-text"">Sharply lowers opponent's Defense.</td>","<td class=""cell-num"">—</td>"
696,Searing Shot,Fire,Special,"<td class=""cell-num"">100</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">5</td>","<td class=""cell-long-text"">May burn opponent.</td>","<td class=""cell-num"">30</td>"
697,Searing Sunraze Smash,Steel,Physical,"<td class=""cell-num"">200</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">1</td>","<td class=""cell-long-text"">Solgaleo-exclusive Z-Move.</td>","<td class=""cell-num"">—</td>"
698,Secret Power,Normal,Physical,"<td class=""cell-num"">70</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">20</td>","<td class=""cell-long-text"">Effects of the attack vary with the location.</td>","<td class=""cell-num"">30</td>"
699,Secret Sword,Fighting,Special,"<td class=""cell-num"">85</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">Inflicts damage based on the target's Defense, not Special Defense.</td>","<td class=""cell-num"">—</td>"
700,Seed Bomb,Grass,Physical,"<td class=""cell-num"">80</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">15</td>","<td class=""cell-long-text""></td>","<td class=""cell-num"">—</td>"
701,Seed Flare,Grass,Special,"<td class=""cell-num"">120</td>","<td class=""cell-num"">85</td>","<td class=""cell-num"">5</td>","<td class=""cell-long-text"">May lower opponent's Special Defense.</td>","<td class=""cell-num"">40</td>"
702,Seismic Toss,Fighting,Physical,"<td class=""cell-num"">—</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">20</td>","<td class=""cell-long-text"">Inflicts damage equal to user's level.</td>","<td class=""cell-num"">—</td>"
703,Self-Destruct,Normal,Physical,"<td class=""cell-num"">200</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">5</td>","<td class=""cell-long-text"">User faints.</td>","<td class=""cell-num"">—</td>"
704,Shadow Ball,Ghost,Special,"<td class=""cell-num"">80</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">15</td>","<td class=""cell-long-text"">May lower opponent's Special Defense.</td>","<td class=""cell-num"">20</td>"
705,Shadow Bone,Ghost,Physical,"<td class=""cell-num"">85</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">May lower opponent's Defense.</td>","<td class=""cell-num"">20</td>"
706,Shadow Claw,Ghost,Physical,"<td class=""cell-num"">70</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">15</td>","<td class=""cell-long-text"">High critical hit ratio.</td>","<td class=""cell-num"">—</td>"
707,Shadow Force,Ghost,Physical,"<td class=""cell-num"">120</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">5</td>","<td class=""cell-long-text"">Disappears on first turn, attacks on second. Can strike through Protect/Detect.</td>","<td class=""cell-num"">—</td>"
708,Shadow Punch,Ghost,Physical,"<td class=""cell-num"">60</td>","<td class=""cell-num num-infinity"" data-sort-value=""101"">∞</td>","<td class=""cell-num"">20</td>","<td class=""cell-long-text"">Ignores Accuracy and Evasiveness.</td>","<td class=""cell-num"">—</td>"
709,Shadow Sneak,Ghost,Physical,"<td class=""cell-num"">40</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">30</td>","<td class=""cell-long-text"">User attacks first.</td>","<td class=""cell-num"">—</td>"
710,Sharpen,Normal,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">30</td>","<td class=""cell-long-text"">Raises user's Attack.</td>","<td class=""cell-num"">—</td>"
711,Shattered Psyche,Psychic,,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">1</td>","<td class=""cell-long-text"">Psychic type Z-Move.</td>","<td class=""cell-num"">—</td>"
712,Shed Tail,Normal,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">Creates a substitute, then swaps places with a party Pokémon in waiting.</td>","<td class=""cell-num"">—</td>"
713,Sheer Cold,Ice,Special,"<td class=""cell-num"">—</td>","<td class=""cell-num"">30</td>","<td class=""cell-num"">5</td>","<td class=""cell-long-text"">One-Hit-KO, if it hits.</td>","<td class=""cell-num"">—</td>"
714,Shell Side Arm,Poison,Special,"<td class=""cell-num"">90</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">May poison opponent. Inflicts either Special or Physical damage, whichever is better.</td>","<td class=""cell-num"">—</td>"
715,Shell Smash,Normal,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">15</td>","<td class=""cell-long-text"">Sharply raises user's Attack, Special Attack and Speed but lowers Defense and Special Defense.</td>","<td class=""cell-num"">—</td>"
716,Shell Trap,Fire,Special,"<td class=""cell-num"">150</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">5</td>","<td class=""cell-long-text"">Deals more damage to opponent if hit by a Physical move.</td>","<td class=""cell-num"">—</td>"
717,Shelter,Steel,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">Raises user's Defense.</td>","<td class=""cell-num"">—</td>"
718,Shift Gear,Steel,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">Raises user's Attack and sharply raises Speed.</td>","<td class=""cell-num"">—</td>"
719,Shock Wave,Electric,Special,"<td class=""cell-num"">60</td>","<td class=""cell-num num-infinity"" data-sort-value=""101"">∞</td>","<td class=""cell-num"">20</td>","<td class=""cell-long-text"">Ignores Accuracy and Evasiveness.</td>","<td class=""cell-num"">—</td>"
720,Shore Up,Ground,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">5</td>","<td class=""cell-long-text"">The user regains up to half of its max HP. It restores more HP in a sandstorm.</td>","<td class=""cell-num"">—</td>"
721,Signal Beam,Bug,Special,"<td class=""cell-num"">75</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">15</td>","<td class=""cell-long-text"">May confuse opponent.</td>","<td class=""cell-num"">10</td>"
722,Silk Trap,Bug,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">Protects the user and lowers opponent's Speed on contact.</td>","<td class=""cell-num"">—</td>"
723,Silver Wind,Bug,Special,"<td class=""cell-num"">60</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">5</td>","<td class=""cell-long-text"">May raise all stats of user at once.</td>","<td class=""cell-num"">10</td>"
724,Simple Beam,Normal,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">15</td>","<td class=""cell-long-text"">Changes target's ability to Simple.</td>","<td class=""cell-num"">—</td>"
725,Sing,Normal,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">55</td>","<td class=""cell-num"">15</td>","<td class=""cell-long-text"">Puts opponent to sleep.</td>","<td class=""cell-num"">—</td>"
726,Sinister Arrow Raid,Ghost,Physical,"<td class=""cell-num"">180</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">1</td>","<td class=""cell-long-text"">Decidueye-exclusive Z-Move.</td>","<td class=""cell-num"">—</td>"
727,Sizzly Slide,Fire,Physical,"<td class=""cell-num"">90</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">15</td>","<td class=""cell-long-text"">Burns the opponent.</td>","<td class=""cell-num"">100</td>"
728,Sketch,Normal,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">1</td>","<td class=""cell-long-text"">Permanently copies the opponent's last move.</td>","<td class=""cell-num"">—</td>"
729,Skill Swap,Psychic,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">The user swaps Abilities with the opponent.</td>","<td class=""cell-num"">—</td>"
730,Skitter Smack,Bug,Physical,"<td class=""cell-num"">70</td>","<td class=""cell-num"">90</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">Lowers opponent's Sp. Attack.</td>","<td class=""cell-num"">—</td>"
731,Skull Bash,Normal,Physical,"<td class=""cell-num"">130</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">Raises Defense on first turn, attacks on second.</td>","<td class=""cell-num"">100</td>"
732,Sky Attack,Flying,Physical,"<td class=""cell-num"">140</td>","<td class=""cell-num"">90</td>","<td class=""cell-num"">5</td>","<td class=""cell-long-text"">Charges on first turn, attacks on second. May cause flinching. High critical hit ratio.</td>","<td class=""cell-num"">30</td>"
733,Sky Drop,Flying,Physical,"<td class=""cell-num"">60</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">Takes opponent into the air on first turn, drops them on second turn.</td>","<td class=""cell-num"">—</td>"
734,Sky Uppercut,Fighting,Physical,"<td class=""cell-num"">85</td>","<td class=""cell-num"">90</td>","<td class=""cell-num"">15</td>","<td class=""cell-long-text"">Hits the opponent, even during Fly.</td>","<td class=""cell-num"">—</td>"
735,Slack Off,Normal,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">5</td>","<td class=""cell-long-text"">User recovers half its max HP.</td>","<td class=""cell-num"">—</td>"
736,Slam,Normal,Physical,"<td class=""cell-num"">80</td>","<td class=""cell-num"">75</td>","<td class=""cell-num"">20</td>","<td class=""cell-long-text""></td>","<td class=""cell-num"">—</td>"
737,Slash,Normal,Physical,"<td class=""cell-num"">70</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">20</td>","<td class=""cell-long-text"">High critical hit ratio.</td>","<td class=""cell-num"">—</td>"
738,Sleep Powder,Grass,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">75</td>","<td class=""cell-num"">15</td>","<td class=""cell-long-text"">Puts opponent to sleep.</td>","<td class=""cell-num"">—</td>"
739,Sleep Talk,Normal,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">User performs one of its own moves while sleeping.</td>","<td class=""cell-num"">—</td>"
740,Sludge,Poison,Special,"<td class=""cell-num"">65</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">20</td>","<td class=""cell-long-text"">May poison opponent.</td>","<td class=""cell-num"">30</td>"
741,Sludge Bomb,Poison,Special,"<td class=""cell-num"">90</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">May poison opponent.</td>","<td class=""cell-num"">30</td>"
742,Sludge Wave,Poison,Special,"<td class=""cell-num"">95</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">May poison opponent.</td>","<td class=""cell-num"">10</td>"
743,Smack Down,Rock,Physical,"<td class=""cell-num"">50</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">15</td>","<td class=""cell-long-text"">Makes Flying-type Pokémon vulnerable to Ground moves.</td>","<td class=""cell-num"">100</td>"
744,Smart Strike,Steel,Physical,"<td class=""cell-num"">70</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">The user stabs the target with a sharp horn. This attack never misses.</td>","<td class=""cell-num"">—</td>"
745,Smelling Salts,Normal,Physical,"<td class=""cell-num"">70</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">Power doubles if opponent is paralyzed, but cures it.</td>","<td class=""cell-num"">—</td>"
746,Smog,Poison,Special,"<td class=""cell-num"">30</td>","<td class=""cell-num"">70</td>","<td class=""cell-num"">20</td>","<td class=""cell-long-text"">May poison opponent.</td>","<td class=""cell-num"">40</td>"
747,Smokescreen,Normal,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">20</td>","<td class=""cell-long-text"">Lowers opponent's Accuracy.</td>","<td class=""cell-num"">—</td>"
748,Snap Trap,Grass,Physical,"<td class=""cell-num"">35</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">15</td>","<td class=""cell-long-text"">Traps opponent, damaging them for 4-5 turns.</td>","<td class=""cell-num"">100</td>"
749,Snarl,Dark,Special,"<td class=""cell-num"">55</td>","<td class=""cell-num"">95</td>","<td class=""cell-num"">15</td>","<td class=""cell-long-text"">Lowers opponent's Special Attack.</td>","<td class=""cell-num"">100</td>"
750,Snatch,Dark,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">Steals the effects of the opponent's next move.</td>","<td class=""cell-num"">—</td>"
751,Snipe Shot,Water,Special,"<td class=""cell-num"">80</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">15</td>","<td class=""cell-long-text"">Ignores moves and abilities that draw in moves. High critical hit ratio.</td>","<td class=""cell-num"">—</td>"
752,Snore,Normal,Special,"<td class=""cell-num"">50</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">15</td>","<td class=""cell-long-text"">Can only be used if asleep. May cause flinching.</td>","<td class=""cell-num"">30</td>"
753,Snowscape,Ice,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">Raises Defense of Ice types for 5 turns.</td>","<td class=""cell-num"">—</td>"
754,Soak,Water,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">20</td>","<td class=""cell-long-text"">Changes the target's type to water.</td>","<td class=""cell-num"">—</td>"
755,Soft-Boiled,Normal,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">5</td>","<td class=""cell-long-text"">User recovers half its max HP.</td>","<td class=""cell-num"">—</td>"
756,Solar Beam,Grass,Special,"<td class=""cell-num"">120</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">Charges on first turn, attacks on second.</td>","<td class=""cell-num"">—</td>"
757,Solar Blade,Grass,Physical,"<td class=""cell-num"">125</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">Charges on first turn, attacks on second.</td>","<td class=""cell-num"">—</td>"
758,Sonic Boom,Normal,Special,"<td class=""cell-num"">—</td>","<td class=""cell-num"">90</td>","<td class=""cell-num"">20</td>","<td class=""cell-long-text"">Always inflicts 20 HP.</td>","<td class=""cell-num"">—</td>"
759,Soul-Stealing 7-Star Strike,Ghost,Physical,"<td class=""cell-num"">195</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">1</td>","<td class=""cell-long-text"">Marshadow-exclusive Z-Move.</td>","<td class=""cell-num"">—</td>"
760,Spacial Rend,Dragon,Special,"<td class=""cell-num"">100</td>","<td class=""cell-num"">95</td>","<td class=""cell-num"">5</td>","<td class=""cell-long-text"">High critical hit ratio.</td>","<td class=""cell-num"">—</td>"
761,Spark,Electric,Physical,"<td class=""cell-num"">65</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">20</td>","<td class=""cell-long-text"">May paralyze opponent.</td>","<td class=""cell-num"">30</td>"
762,Sparkling Aria,Water,Special,"<td class=""cell-num"">90</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">Heals the burns of its target.</td>","<td class=""cell-num"">—</td>"
763,Sparkly Swirl,Fairy,Special,"<td class=""cell-num"">90</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">15</td>","<td class=""cell-long-text"">Cures all status problems in the party Pokémon.</td>","<td class=""cell-num"">—</td>"
764,Spectral Thief,Ghost,Physical,"<td class=""cell-num"">90</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">The user hides in the target's shadow, steals the target's stat boosts, and then attacks.</td>","<td class=""cell-num"">—</td>"
765,Speed Swap,Psychic,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">The user exchanges Speed stats with the target.</td>","<td class=""cell-num"">—</td>"
766,Spicy Extract,Grass,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num num-infinity"" data-sort-value=""101"">∞</td>","<td class=""cell-num"">15</td>","<td class=""cell-long-text"">Harshly lowers the opponent's Defense and sharply raises their Attack.</td>","<td class=""cell-num"">—</td>"
767,Spider Web,Bug,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">Opponent cannot escape/switch.</td>","<td class=""cell-num"">—</td>"
768,Spike Cannon,Normal,Physical,"<td class=""cell-num"">20</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">15</td>","<td class=""cell-long-text"">Hits 2-5 times in one turn.</td>","<td class=""cell-num"">—</td>"
769,Spikes,Ground,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">20</td>","<td class=""cell-long-text"">Damages opponents switching into battle.</td>","<td class=""cell-num"">—</td>"
770,Spiky Shield,Grass,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">Protects the user and inflicts damage on contact.</td>","<td class=""cell-num"">—</td>"
771,Spin Out,Steel,Physical,"<td class=""cell-num"">100</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">5</td>","<td class=""cell-long-text"">Harshly lowers user’s Speed.</td>","<td class=""cell-num"">—</td>"
772,Spirit Break,Fairy,Physical,"<td class=""cell-num"">75</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">15</td>","<td class=""cell-long-text"">Lowers opponent's Special Attack.</td>","<td class=""cell-num"">100</td>"
773,Spirit Shackle,Ghost,Physical,"<td class=""cell-num"">80</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">Prevents the opponent from switching out.</td>","<td class=""cell-num"">—</td>"
774,Spit Up,Normal,Special,"<td class=""cell-num"">—</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">Power depends on how many times the user performed Stockpile.</td>","<td class=""cell-num"">—</td>"
775,Spite,Ghost,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">The opponent's last move loses 2-5 PP.</td>","<td class=""cell-num"">—</td>"
776,Splash,Normal,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">40</td>","<td class=""cell-long-text"">Doesn't do ANYTHING.</td>","<td class=""cell-num"">—</td>"
777,Splintered Stormshards,Rock,Physical,"<td class=""cell-num"">190</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">1</td>","<td class=""cell-long-text"">Lycanroc-exclusive Z-Move.</td>","<td class=""cell-num"">—</td>"
778,Splishy Splash,Water,Special,"<td class=""cell-num"">90</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">15</td>","<td class=""cell-long-text"">May paralyze opponent.</td>","<td class=""cell-num"">30</td>"
779,Spore,Grass,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">15</td>","<td class=""cell-long-text"">Puts opponent to sleep.</td>","<td class=""cell-num"">—</td>"
780,Spotlight,Normal,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">15</td>","<td class=""cell-long-text"">The user shines a spotlight on the target so that only the target will be attacked during the turn.</td>","<td class=""cell-num"">—</td>"
781,Springtide Storm,Fairy,Special,"<td class=""cell-num"">100</td>","<td class=""cell-num"">80</td>","<td class=""cell-num"">5</td>","<td class=""cell-long-text"">Boosts user's stats in Incarnate Forme, or lowers opponent's stats in Therian Forme.</td>","<td class=""cell-num"">—</td>"
782,Stealth Rock,Rock,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">20</td>","<td class=""cell-long-text"">Damages opponents switching into battle.</td>","<td class=""cell-num"">—</td>"
783,Steam Eruption,Water,Special,"<td class=""cell-num"">110</td>","<td class=""cell-num"">95</td>","<td class=""cell-num"">5</td>","<td class=""cell-long-text"">May burn opponent.</td>","<td class=""cell-num"">30</td>"
784,Steamroller,Bug,Physical,"<td class=""cell-num"">65</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">20</td>","<td class=""cell-long-text"">May cause flinching.</td>","<td class=""cell-num"">30</td>"
785,Steel Beam,Steel,Special,"<td class=""cell-num"">140</td>","<td class=""cell-num"">95</td>","<td class=""cell-num"">5</td>","<td class=""cell-long-text"">User loses 50% of its HP.</td>","<td class=""cell-num"">—</td>"
786,Steel Roller,Steel,Physical,"<td class=""cell-num"">130</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">5</td>","<td class=""cell-long-text"">Fails if no Terrain in effect.</td>","<td class=""cell-num"">—</td>"
787,Steel Wing,Steel,Physical,"<td class=""cell-num"">70</td>","<td class=""cell-num"">90</td>","<td class=""cell-num"">25</td>","<td class=""cell-long-text"">May raise user's Defense.</td>","<td class=""cell-num"">10</td>"
788,Sticky Web,Bug,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">20</td>","<td class=""cell-long-text"">Lowers opponent's Speed when switching into battle.</td>","<td class=""cell-num"">—</td>"
789,Stockpile,Normal,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">20</td>","<td class=""cell-long-text"">Stores energy for use with Spit Up and Swallow.</td>","<td class=""cell-num"">—</td>"
790,Stoked Sparksurfer,Electric,Special,"<td class=""cell-num"">175</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">1</td>","<td class=""cell-long-text"">Alolan Raichu-exclusive Electric type Z-Move.</td>","<td class=""cell-num"">100</td>"
791,Stomp,Normal,Physical,"<td class=""cell-num"">65</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">20</td>","<td class=""cell-long-text"">May cause flinching.</td>","<td class=""cell-num"">30</td>"
792,Stomping Tantrum,Ground,Physical,"<td class=""cell-num"">75</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">Driven by frustration, the user attacks the target. If the user's previous move has failed, the power of this move doubles.</td>","<td class=""cell-num"">—</td>"
793,Stone Axe,Rock,Physical,"<td class=""cell-num"">65</td>","<td class=""cell-num"">90</td>","<td class=""cell-num"">15</td>","<td class=""cell-long-text"">Sets up Stealth Rock.</td>","<td class=""cell-num"">—</td>"
794,Stone Edge,Rock,Physical,"<td class=""cell-num"">100</td>","<td class=""cell-num"">80</td>","<td class=""cell-num"">5</td>","<td class=""cell-long-text"">High critical hit ratio.</td>","<td class=""cell-num"">—</td>"
795,Stored Power,Psychic,Special,"<td class=""cell-num"">20</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">Power increases when user's stats have been raised.</td>","<td class=""cell-num"">—</td>"
796,Storm Throw,Fighting,Physical,"<td class=""cell-num"">60</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">Always results in a critical hit.</td>","<td class=""cell-num"">100</td>"
797,Strange Steam,Fairy,Special,"<td class=""cell-num"">90</td>","<td class=""cell-num"">95</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">May confuse opponent.</td>","<td class=""cell-num"">20</td>"
798,Strength,Normal,Physical,"<td class=""cell-num"">80</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">15</td>","<td class=""cell-long-text""></td>","<td class=""cell-num"">—</td>"
799,Strength Sap,Grass,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">The user restores its HP by the same amount as the target's Attack stat. It also lowers the target's Attack stat.</td>","<td class=""cell-num"">100</td>"
800,String Shot,Bug,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">95</td>","<td class=""cell-num"">40</td>","<td class=""cell-long-text"">Sharply lowers opponent's Speed.</td>","<td class=""cell-num"">—</td>"
801,Struggle,Normal,Physical,"<td class=""cell-num"">50</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-long-text"">Only usable when all PP are gone. Hurts the user.</td>","<td class=""cell-num"">—</td>"
802,Struggle Bug,Bug,Special,"<td class=""cell-num"">50</td>","<td class=""cell-num"">100</td>","<td class=""cell-num"">20</td>","<td class=""cell-long-text"">Lowers opponent's Special Attack.</td>","<td class=""cell-num"">100</td>"
803,Stuff Cheeks,Normal,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">—</td>","<td class=""cell-num"">10</td>","<td class=""cell-long-text"">The user eats its held Berry, then sharply raises its Defense stat.</td>","<td class=""cell-num"">100</td>"
804,Stun Spore,Grass,Status,"<td class=""cell-num"">—</td>","<td class=""cell-num"">75</td>","<td class=""cell-num"">30</td>","<td class=""cell-long-text"">Paralyzes opponent.</td>","<td class=""cell-num"">—</td>"
805,Submission,Fighting,Physical,"<td class=""cell-num"">80</td>","<td class=""cell-num"">80</td>","<td class=""cell-num"">20</td>","<td class=""cell-long-text"">User receives recoil damage.</td>","<td class=""cell-num"">—</td>"
